,assists,blocked,evenTimeOnIce_s,faceOffWins,faceoffTaken,giveaways,goals,hits,penaltyMinutes_s,plusMinus,powerPlayAssists,powerPlayGoals,powerPlayTimeOnIce_s,shortHandedAssists,shortHandedGoals,shortHandedTimeOnIce_s,shots,takeaways,timeOnIce_s,games_played,position
8474600,0.375,2.08333333333,1245.94444444,0.0,0.0,0.472222222222,0.180555555556,0.444444444444,15.0,-0.0416666666667,0.138888888889,0.0416666666667,185.722222222,0.0,0.0,153.5,2.33333333333,0.305555555556,1585.16666667,72.0,Defenseman
8473658,0.1,1.58,827.08,0.0,0.0,0.14,0.02,1.62,27.6,0.0,0.0,0.0,3.86,0.0,0.0,90.92,0.42,0.28,921.86,50.0,Defenseman
8476874,0.25641025641,1.4358974359,970.884615385,0.0,0.0,0.448717948718,0.115384615385,0.525641025641,10.7692307692,0.102564102564,0.0384615384615,0.0384615384615,72.4743589744,0.0,0.0128205128205,66.5641025641,1.52564102564,0.128205128205,1109.92307692,78.0,Defenseman
8467452,0.0754716981132,1.69811320755,975.716981132,0.0,0.0,0.396226415094,0.0,0.339622641509,2.2641509434,-0.150943396226,0.0,0.0,1.56603773585,0.0,0.0,158.0,0.528301886792,0.132075471698,1135.28301887,53.0,Defenseman
8468542,0.307692307692,1.89743589744,1126.66666667,0.0,0.0,0.435897435897,0.0769230769231,0.769230769231,15.3846153846,-0.102564102564,0.205128205128,0.025641025641,179.743589744,0.0,0.0,167.846153846,1.38461538462,0.307692307692,1474.25641026,39.0,Defenseman
8469467,0.0,0.545454545455,600.848484848,0.030303030303,0.0606060606061,0.272727272727,0.0606060606061,1.48484848485,27.2727272727,0.030303030303,0.0,0.0,42.5454545455,0.0,0.0,29.2424242424,1.12121212121,0.30303030303,672.636363636,33.0,Right Wing
8470543,0.423076923077,0.320512820513,920.858974359,0.0384615384615,0.0512820512821,0.576923076923,0.448717948718,2.01282051282,50.7692307692,0.320512820513,0.115384615385,0.166666666667,217.846153846,0.0,0.0,10.7307692308,2.79487179487,0.307692307692,1149.43589744,78.0,Left Wing
8470854,0.134328358209,0.850746268657,607.462686567,0.134328358209,0.283582089552,0.0746268656716,0.0597014925373,3.68656716418,80.5970149254,-0.119402985075,0.0,0.0,1.17910447761,0.0,0.0,98.5373134328,0.835820895522,0.149253731343,707.179104478,67.0,Left Wing
8467881,0.0178571428571,0.5,630.625,0.125,0.232142857143,0.0714285714286,0.0714285714286,1.25,21.4285714286,-0.428571428571,0.0,0.0178571428571,24.6071428571,0.0,0.0,39.3571428571,0.928571428571,0.214285714286,694.589285714,56.0,Left Wing
8471707,0.576271186441,0.389830508475,875.677966102,0.0847457627119,0.305084745763,0.372881355932,0.457627118644,0.983050847458,55.9322033898,0.254237288136,0.254237288136,0.186440677966,230.06779661,0.0,0.0,1.20338983051,4.03389830508,0.525423728814,1106.94915254,59.0,Right Wing
8475761,0.190476190476,0.333333333333,753.285714286,0.0952380952381,0.0952380952381,0.190476190476,0.142857142857,1.52380952381,0.0,-0.0952380952381,0.0,0.0,77.2857142857,0.0,0.0,0.0952380952381,1.28571428571,0.0952380952381,830.666666667,21.0,Right Wing
8470740,0.301369863014,0.287671232877,915.465753425,0.13698630137,0.452054794521,0.534246575342,0.164383561644,1.42465753425,26.301369863,-0.219178082192,0.0547945205479,0.0,112.109589041,0.041095890411,0.027397260274,80.2328767123,2.43835616438,0.547945205479,1107.80821918,73.0,Right Wing
8465166,0.0731707317073,0.719512195122,563.963414634,0.743902439024,1.69512195122,0.19512195122,0.0609756097561,2.31707317073,33.6585365854,-0.19512195122,0.0,0.0,0.926829268293,0.0,0.0,182.756097561,0.890243902439,0.182926829268,747.646341463,82.0,Right Wing
8469638,0.444444444444,0.382716049383,803.037037037,1.97530864198,3.69135802469,0.58024691358,0.259259259259,0.41975308642,13.3333333333,0.148148148148,0.185185185185,0.0740740740741,136.888888889,0.0,0.0,2.12345679012,2.12345679012,0.271604938272,942.049382716,81.0,Left Wing
8476158,0.0,0.384615384615,607.692307692,0.153846153846,0.153846153846,0.307692307692,0.153846153846,1.07692307692,55.3846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.923076923077,0.230769230769,607.692307692,13.0,Center
8468498,0.152777777778,1.98611111111,1088.19444444,0.0,0.0,0.444444444444,0.0277777777778,3.06944444444,38.3333333333,-0.0416666666667,0.0,0.0,6.94444444444,0.0,0.0,176.708333333,0.694444444444,0.152777777778,1271.84722222,72.0,Defenseman
8475155,0.147058823529,1.35294117647,912.911764706,0.0,0.0,0.441176470588,0.0,2.11764705882,45.8823529412,0.117647058824,0.0294117647059,0.0,45.7941176471,0.0,0.0,45.8235294118,1.20588235294,0.294117647059,1004.52941176,34.0,Defenseman
8476207,0.292682926829,0.463414634146,656.12195122,0.219512195122,0.536585365854,0.268292682927,0.121951219512,0.585365853659,8.78048780488,0.121951219512,0.0,0.0243902439024,21.5609756098,0.0243902439024,0.0,39.0,0.707317073171,0.243902439024,716.682926829,41.0,Center
8471724,0.297297297297,1.37837837838,1111.32432432,0.0,0.0,1.05405405405,0.297297297297,1.16216216216,25.9459459459,-0.216216216216,0.162162162162,0.162162162162,222.810810811,0.0,0.0,119.891891892,2.91891891892,0.243243243243,1454.02702703,37.0,Defenseman
8477126,0.111111111111,0.361111111111,618.944444444,0.0555555555556,0.277777777778,0.111111111111,0.138888888889,1.30555555556,10.0,0.0277777777778,0.0,0.0,0.277777777778,0.0,0.0,9.86111111111,1.0,0.194444444444,629.083333333,36.0,Center
8470760,0.226666666667,1.46666666667,1108.77333333,0.0,0.0,0.573333333333,0.08,2.41333333333,22.4,0.0,0.04,0.0,34.5066666667,0.0,0.0,162.08,1.56,0.28,1305.36,75.0,Defenseman
8464956,0.2,1.35714285714,887.028571429,0.0,0.0,0.657142857143,0.0142857142857,2.0,25.7142857143,-0.171428571429,0.1,0.0142857142857,81.2571428571,0.0,0.0,185.371428571,1.28571428571,0.142857142857,1153.65714286,70.0,Defenseman
8476879,0.122448979592,1.0,841.87755102,0.0,0.0,0.30612244898,0.0612244897959,0.918367346939,17.1428571429,-0.102040816327,0.0,0.0,85.3265306122,0.0,0.0,105.06122449,1.67346938776,0.244897959184,1032.26530612,49.0,Defenseman
8474068,0.390243902439,0.40243902439,875.231707317,8.82926829268,17.4268292683,0.475609756098,0.317073170732,0.548780487805,28.5365853659,0.268292682927,0.0975609756098,0.0731707317073,144.5,0.0121951219512,0.0243902439024,104.012195122,2.62195121951,0.621951219512,1123.74390244,82.0,Center
8470599,0.268292682927,0.378048780488,817.853658537,0.0731707317073,0.170731707317,0.170731707317,0.207317073171,1.0487804878,30.0,-0.30487804878,0.0487804878049,0.0487804878049,129.304878049,0.0,0.0,108.097560976,2.06097560976,0.390243902439,1055.25609756,82.0,Left Wing
8471862,0.144736842105,0.394736842105,726.684210526,0.289473684211,0.776315789474,0.263157894737,0.0789473684211,2.96052631579,32.3684210526,-0.197368421053,0.0131578947368,0.0263157894737,25.6052631579,0.0,0.0,72.3157894737,1.42105263158,0.368421052632,824.605263158,76.0,Center
8474250,0.109756097561,0.341463414634,815.524390244,8.29268292683,15.743902439,0.475609756098,0.158536585366,2.13414634146,81.2195121951,-0.109756097561,0.0121951219512,0.0,19.7073170732,0.0121951219512,0.0121951219512,96.6707317073,1.87804878049,0.548780487805,931.902439024,82.0,Center
8470667,0.392405063291,0.253164556962,814.759493671,0.189873417722,0.405063291139,0.46835443038,0.303797468354,1.36708860759,59.2405063291,0.151898734177,0.0886075949367,0.101265822785,155.329113924,0.0253164556962,0.0126582278481,87.9240506329,2.01265822785,0.417721518987,1058.01265823,79.0,Left Wing
8469455,0.573333333333,0.346666666667,862.106666667,10.3333333333,19.1466666667,0.906666666667,0.306666666667,0.226666666667,36.8,-0.346666666667,0.173333333333,0.12,183.453333333,0.0,0.0,47.0666666667,2.97333333333,0.626666666667,1092.62666667,75.0,Center
8473588,0.131578947368,0.578947368421,551.881578947,0.0131578947368,0.197368421053,0.394736842105,0.0789473684211,0.368421052632,23.6842105263,0.0,0.0,0.0,3.32894736842,0.0131578947368,0.0131578947368,143.710526316,1.11842105263,0.486842105263,698.921052632,76.0,Right Wing
8467493,0.0789473684211,0.236842105263,670.710526316,0.0131578947368,0.0394736842105,0.171052631579,0.105263157895,3.32894736842,166.578947368,-0.131578947368,0.0131578947368,0.0,36.25,0.0,0.0,1.21052631579,1.30263157895,0.210526315789,708.171052632,76.0,Right Wing
